Url playlist;;List Url;Type ;Expert name;Company name;Sub-topics;YouTube account;;
https://www.youtube.com/watch?v;;BJbtz3HIYGE;Video;;Koster Honing;Imker;https://www.youtube.com/@kosterhoning2904/featured;;
https://www.youtube.com/watch?v;;3NpK4diXpwQ;Video;;Koster Honing;Imker;https://www.youtube.com/@kosterhoning2904/featured;;
https://www.youtube.com/watch?v;ryThwgpdkFw&list;PL9ntik9Ac6jxIYTbhiMAO0inx1pvZQVT_;Playlist;David Burns;honeybeesonline;Imker;https://www.youtube.com/@beek/featured;;
https://www.youtube.com/watch?v;GpbQTieOVwc&list;PL9ntik9Ac6jxcOdNeeTgrrKA0F_heo3dE;Playlist;David Burns;honeybeesonline;Imker;https://www.youtube.com/@beek/featured;;
https://www.youtube.com/watch?v;hJU_LlB_gHQ&list;PL9ntik9Ac6jwWj8JBd3XQEZnFQ-xEwhf-;Playlist;David Burns;honeybeesonline;Imker;https://www.youtube.com/@beek/featured;;
https://www.youtube.com/watch?v;VDAWJddaDsI&list;PL9ntik9Ac6jzImoP61N5ou3ywubEMJFXn;Playlist;David Burns;honeybeesonline;Imker;https://www.youtube.com/@beek/featured;;
https://www.youtube.com/watch?v;vX4YjRWeyTg&list;PLQ-Bs6RELuDRrM8YPPbxJgAc6sxao2QOu;Playlist;Doug Remschneider;Doug the Bee Guy;Imker;https://www.youtube.com/@DougtheBeeGuy/featured;;
https://www.youtube.com/watch?v;JmOXtVpCH7k&list;PLQ-Bs6RELuDTVVDzdLlQYRhVz1PXkw-j_;Playlist;Doug Remschneider;Doug the Bee Guy;Imker;https://www.youtube.com/@DougtheBeeGuy/featured;;
https://www.youtube.com/watch?v;GSYdeTJlkug&list;PLQ-Bs6RELuDTJVObSC5Dc32B-CdEnwcp0;Playlist;Doug Remschneider;Doug the Bee Guy;Imker;https://www.youtube.com/@DougtheBeeGuy/featured;;
https://www.youtube.com/watch?v;TaVMrR9hUpQ&list;PLQ-Bs6RELuDTBq-cduGSIxpZgmxJJXvmJ;Playlist;Doug Remschneider;Doug the Bee Guy;Imker;https://www.youtube.com/@DougtheBeeGuy/featured;;
https://www.youtube.com/watch?v;PU3Jy6PLuw4&list;PLQ-Bs6RELuDRbBFDXsRvasM5LbCr8BSJ3;Playlist;Doug Remschneider;Doug the Bee Guy;Imker;https://www.youtube.com/@DougtheBeeGuy/featured;;
https://www.youtube.com/watch?v;pJVG1Dph9ZA&list;PLQ-Bs6RELuDTl2-9kMYa7oNqRT2MUP02W;Playlist;Doug Remschneider;Doug the Bee Guy;Imker;https://www.youtube.com/@DougtheBeeGuy/featured;;
https://www.youtube.com/watch?v;Ba3Q9ZgrV_0&list;PLQ-Bs6RELuDRtwr0i7UNoqWdkHq_aZF7q;Playlist;Doug Remschneider;Doug the Bee Guy;Imker;https://www.youtube.com/@DougtheBeeGuy/featured;;
https://www.youtube.com/watch?v;IMMm5Tz-Q1M&list;PLQ-Bs6RELuDQ3znMdB6EJyr9MIJHowY2O;Playlist;Doug Remschneider;Doug the Bee Guy;Imker;https://www.youtube.com/@DougtheBeeGuy/featured;;
https://www.youtube.com/watch?v;Ba3Q9ZgrV_0&list;PLQ-Bs6RELuDQ5p3ddBvOhzTB-PyRDujcb;Playlist;Doug Remschneider;Doug the Bee Guy;Imker;https://www.youtube.com/@DougtheBeeGuy/featured;;
https://www.youtube.com/watch?v;IMMm5Tz-Q1M&list;PLQ-Bs6RELuDQzwwSxW7YoBnNY60tTn0bu;Playlist;Doug Remschneider;Doug the Bee Guy;Imker;https://www.youtube.com/@DougtheBeeGuy/featured;;
https://www.youtube.com/watch?v;CPqXg4mmsXk&list;PLQ-Bs6RELuDTx4iSUTpZFgJ9R0Q01VeNm;Playlist;Doug Remschneider;Doug the Bee Guy;Imker;https://www.youtube.com/@DougtheBeeGuy/featured;;
https://www.youtube.com/watch?v;U62EFNeuzrM&list;PL6ufkFP15iaw1sU3c-UtzCweKoZEv-mDe;Playlist;Allie D'Andrea;Outdoors Allie;Jager;https://www.youtube.com/@OutdoorsAllie/featured;;
https://www.youtube.com/watch?v;;SPQHTgeE6Ys;Video;Allie D'Andrea;Outdoors Allie;Jager;https://www.youtube.com/@OutdoorsAllie/featured;;
https://www.youtube.com/watch?v;;HNvR555C_5g;Video;Allie D'Andrea;Outdoors Allie;Jager;https://www.youtube.com/@OutdoorsAllie/featured;;
https://www.youtube.com/watch?v;;UYu0Hx1lYKw;Video;Allie D'Andrea;Outdoors Allie;Jager;https://www.youtube.com/@OutdoorsAllie/featured;;
https://www.youtube.com/watch?v;;GuiNsCZE9pQ;Video;Allie D'Andrea;Outdoors Allie;Jager;https://www.youtube.com/@OutdoorsAllie/featured;;
https://www.youtube.com/watch?v;;kYuaHVsiCQI;Video;Allie D'Andrea;Outdoors Allie;Jager;https://www.youtube.com/@OutdoorsAllie/featured;;
https://www.youtube.com/watch?v;;xR94HxBTOVc;Video;Allie D'Andrea;Outdoors Allie;Jager;https://www.youtube.com/@OutdoorsAllie/featured;;
https://www.youtube.com/watch?v;p7zLWZv6_28&list;PLd4QmRqz5qYxdE11Uhv2LxqShWFPr69bs;Playlist;;RedKettle Efficient Hunting;Jager;https://www.youtube.com/@RedKettleEfficientHunting/featured;;
https://www.youtube.com/watch?v;r4gDaO6x-Ow&list;PLd4QmRqz5qYwKEOHerTEOdkxx9iNJdHeS;Playlist;;RedKettle Efficient Hunting;Jager;https://www.youtube.com/@RedKettleEfficientHunting/featured;;
https://www.youtube.com/watch?v;WocZuhzpLkQ&list;PLd4QmRqz5qYwhGLcevobbyV4D6boXuVSC;Playlist;;RedKettle Efficient Hunting;Jager;https://www.youtube.com/@RedKettleEfficientHunting/featured;;
https://www.youtube.com/watch?v;hm0UmXsuJ-I&list;PLd4QmRqz5qYw6tjtJOwozSdc9VZV4jV6R;Playlist;;RedKettle Efficient Hunting;Jager;https://www.youtube.com/@RedKettleEfficientHunting/featured;;
https://www.youtube.com/watch?v;7GRrRdKXMAM&list;PLd4QmRqz5qYy7kkiEZMuU6L5ipCRamc1P;Playlist;;RedKettle Efficient Hunting;Jager;https://www.youtube.com/@RedKettleEfficientHunting/featured;;
https://www.youtube.com/watch?v;q8nf5Axkn0U&list;PLd4QmRqz5qYzdaXKQvJr0ZfIWWCsah3gz;Playlist;;RedKettle Efficient Hunting;Jager;https://www.youtube.com/@RedKettleEfficientHunting/featured;;
https://www.youtube.com/watch?v;oTxjvgjbQw0&list;PLd4QmRqz5qYzfMVBZrZql42E2LEENk7CV;Playlist;;RedKettle Efficient Hunting;Jager;https://www.youtube.com/@RedKettleEfficientHunting/featured;;
